age,gender,education,take_vaccine,mandatory_vaccine,persona_a,persona_b,persona_c
Between 45 and 54,Man,Postgraduate degree above bachelor's level,7,7,a man aged between 45 and 54 with a postgraduate degree above bachelor's level,a man aged between 45 and 54,a person aged between 45 and 54 with a postgraduate degree above bachelor's level
Between 45 and 54,Man,Bachelor's degree,6,6,a man aged between 45 and 54 with a bachelor's degree,a man aged between 45 and 54,a person aged between 45 and 54 with a bachelor's degree
75 or older,Woman,Some high school,7,7,a woman aged 75 or older with a some high school,a woman aged 75 or older,a person aged 75 or older with a some high school
Between 45 and 54,Man,"College, CEGEP or other non-university certificate or diploma",6,6,"a man aged between 45 and 54 with a college, cegep or other non-university certificate or diploma",a man aged between 45 and 54,"a person aged between 45 and 54 with a college, cegep or other non-university certificate or diploma"
Between 25 and 34,Woman,Bachelor's degree,7,4,a woman aged between 25 and 34 with a bachelor's degree,a woman aged between 25 and 34,a person aged between 25 and 34 with a bachelor's degree
75 or older,Man,Postgraduate degree above bachelor's level,7,7,a man aged 75 or older with a postgraduate degree above bachelor's level,a man aged 75 or older,a person aged 75 or older with a postgraduate degree above bachelor's level
Between 25 and 34,Woman,"College, CEGEP or other non-university certificate or diploma",1,1,"a woman aged between 25 and 34 with a college, cegep or other non-university certificate or diploma",a woman aged between 25 and 34,"a person aged between 25 and 34 with a college, cegep or other non-university certificate or diploma"
Between 25 and 34,Man,Postgraduate degree above bachelor's level,1,1,a man aged between 25 and 34 with a postgraduate degree above bachelor's level,a man aged between 25 and 34,a person aged between 25 and 34 with a postgraduate degree above bachelor's level
Between 45 and 54,Woman,"College, CEGEP or other non-university certificate or diploma",6,5,"a woman aged between 45 and 54 with a college, cegep or other non-university certificate or diploma",a woman aged between 45 and 54,"a person aged between 45 and 54 with a college, cegep or other non-university certificate or diploma"
Between 45 and 54,Man,Postgraduate degree above bachelor's level,4,1,a man aged between 45 and 54 with a postgraduate degree above bachelor's level,a man aged between 45 and 54,a person aged between 45 and 54 with a postgraduate degree above bachelor's level
75 or older,Man,Postgraduate degree above bachelor's level,7,7,a man aged 75 or older with a postgraduate degree above bachelor's level,a man aged 75 or older,a person aged 75 or older with a postgraduate degree above bachelor's level
Between 65 and 74,Man,Postgraduate degree above bachelor's level,7,7,a man aged between 65 and 74 with a postgraduate degree above bachelor's level,a man aged between 65 and 74,a person aged between 65 and 74 with a postgraduate degree above bachelor's level
