author,text,bias,type,audience
Robert Pittenger (Representative from North Carolina),"Obama &amp; Senate Dems give  #Obamacare break to big biz, stiffing hardworking Americans #FairnessForAll http://t.co/AfHBnrrhnd",partisan,policy,national
Todd Young (Representative from Indiana),"And I voted for HR 1162, Government Accountability Office Improvement Act, which passed the House 408/0 http://t.co/8OwyBhoh6p",partisan,policy,national
John Carter (Representative from Texas),".@WashTimes ""#FortHood shooting victims will soon be eligible to receive Purple Heart"" http://t.co/rSbmTfrUsa",partisan,personal,national
F. Sensenbrenner (Representative from Wisconsin),"""While searching for its mission, the ATF has been plagued by decades of high-profile blunders."" http://t.co/l5UcHgYaeJ",partisan,information,national
Richard Burr (Senator from North Carolina),Parents want to know their kids are in a safe place w/ qualified providers. CCDBG is essential 4 #ChildCareProtection http://t.co/WXfvAgfe2L,partisan,attack,national
Steve Stockman (Representative from Texas),"The president is not a king. This is a constitutional republic, not a dictatorship. The president cannot void laws he doesn't want to follow",partisan,policy,national
Rand Paul (Senator from Kentucky),"President Obama says he ÛÏdeplores violence in EgyptÛ, but U.S. foreign aid continues to help pay for it.",partisan,attack,national
Jan Schakowsky (Representative from Illinois),My statement on Monday's #BPOilSpill into Lake Michigan. http://t.co/S8FbEnoADw,partisan,support,constituency
Pete Sessions (Representative from Texas),"I'm on the House floor to manage the rule for the House GOP plan to keep govt open, stop #ObamaCare &amp; protect troops: http://t.co/7PlgqhX4g4",partisan,policy,national
Ann Wagner (Representative from Missouri),"White House finally admits, 'It's True' some Americans won't be able to keep their health care plan under Obamacare. #MoreBrokenPromises",partisan,policy,national
John Cornyn (Senator from Texas),Cornyn Response to Texas Voter ID Lawsuit from Justice Department: http://t.co/sWmS0zLTwM,partisan,policy,constituency
Marlin Stutzman (Representative from Indiana),"Indiana ranked in the top 10 of the 2015 State Business Tax Climate index!

http://t.co/Kcq7kAiJXR

#economy #jobs #Indiana",partisan,constituency,constituency
John Fleming (Representative from Louisiana),"#Obamacare spawning a new concept: ""medical homelessness.""  http://t.co/mmupzZKMqJ",partisan,attack,national
Ron Barber (Representative from Arizona),"I joined @RepDuckworth &amp; a bipartisan group to introduce the MOM Act, extending maternity leave for military mothers.",partisan,support,national
Diana DeGette (Representative from Colorado),Tonite will be great moment in CO history! Thrilled to play role in bringing families together on this historic occasion. #civilunions,partisan,policy,national
Chris Collins (Representative from New York),#ObamacareÛªs definition of full-time employment as working 30 hours a week is hurting our economy and our workers.,partisan,attack,national
Marsha Blackburn (Representative from Tennessee),Another side effect of Obamacare. http://t.co/Jfkaid4bSp,partisan,information,national
Bernard Sanders (Senator from Vermont),NSA Out of Control: http://t.co/t8ghSMxXk6 #NSA #NSAspeech,partisan,policy,national
Frank Pallone (Representative from New Jersey),Introduced @SenatorMenendez at his community forum on US policy in India feat. Asst. Sec. of State Nisha Disai Biswal http://t.co/xCXHpEtfDE,partisan,policy,national
Martin Heinrich (Senator from New Mexico),Video highlights of the work IÛªve done and the places IÛªve been over the last few months. RT to share! http://t.co/hqvqCKwLLp,partisan,personal,national
Doug Lamborn (Representative from Colorado),I do NOT support efforts to exempt only members of Congress &amp; staffs from ObamaCare.  I want every American exempted. http://t.co/Ih6PTpEf4L,partisan,attack,national
Brad Wenstrup (Representative from Ohio),"Today is the 3rd birthday of #Obamacare - the law that has brought skyrocketing premiums, higher taxes &amp; less freedom for American families.",partisan,policy,national
Marco Rubio (Senator from Florida),@americasvoice working off left wing Playbook. Don't agree with the version of #immigrationreform they want?Then you are a hater.,partisan,policy,national
Pete Gallego (Representative from Texas),Radio intrvw w WOAI: it is unconscionable that we would take pay from millions of Americans. http://t.co/ZnVSnkrrn3,partisan,policy,national
Thomas Massie (Representative from Kentucky),"MT ""@SenRandPaul Follow my friend and ally @RepThomasMassie ÛÒ a true voice in fight for liberty &amp; Const. gvt. RT if you agree. #TCOT"" thx!",partisan,mobilization,constituency
James Moran (Representative from Virginia),@chrislhayes this a.m. highlighted special interest tax giveaways in #fiscalcliff deal. Worth sharing -  http://t.co/kv0P9FJ2,partisan,mobilization,national
Eliot Engel (Representative from New York),IÛªm taking a stand against bullying! Wear purple and make your profile pic purple for #spiritday at http://t.co/xfz1ytmIVw  #LGBT,partisan,policy,national
John Hoeven (Senator from North Dakota),Read my statement on #EPA Ûªs new rules for existing power plants here: http://t.co/WwIi2nEezc,partisan,policy,national
Rob Portman (Senator from Ohio),@SenRandPaul deserves an answer from Obama Admin questions abt use of force on U.S. Citizens in U.S.(http://t.co/xb7RkjYWCu),partisan,support,national
Susan Davis (Representative from California),"Voted NO on the Making College More Expensive Act passed by the House Majority #dropthatdebt #dontdoublemyrates 
http://t.co/DcK6cTh5c4",partisan,attack,national
Heidi Heitkamp (Senator from North Dakota),Called on the @USDOTFRA to release info about inspections before the #CasseltonDerailment to review quality of rails. (1/2),partisan,information,national
Paul Gosar (Representative from Arizona),I introduced a resolution in the House today in recognition of #SmallBusinessWeek. #shoplocal http://t.co/StNQtrMr3X,partisan,information,national
Lindsey Graham (Senator from South Carolina),"President Obama wanted 3 things on gun control -- ban assault weapons, limit magazine sizes, and expand background checks. He'll lose all 3.",partisan,policy,national
Jason Smith (Representative from Missouri),"Looking forward to Day #3 of our #MO8 Farm Tour. Will be visiting deer farm, pig farm and grocery store. From the farm to the table!",partisan,policy,national
Barbara Mikulski (Senator from Maryland),Today announced my support for commission on Army Force Structure to defend MD National Guard against budget attacks http://t.co/jCJeUun8vU,partisan,policy,national
Kyrsten Sinema (Representative from Arizona),"Kyrsten's Statement: Reopening National Parks Right for Arizona Jobs, Economy http://t.co/kmLHWsSHIf -Staff",partisan,information,constituency
Bill Cassidy (Representative from Louisiana),Massive turnout is expected throughout the Pelican State! Be a voter for @BillCassidy today. #VoteCassidy http://t.co/ESVOKQNd84,partisan,mobilization,constituency
John Carter (Representative from Texas),RT @RepKevinBrady: What kind of govt swoops in upon your death &amp; takes nearly half of the nest egg you spent your entire life building? httÛ_,partisan,policy,national
John Barrow (Representative from Georgia),"Once again, I'm cosponsoring a real #NoBudgetNoPay, one that actually encourages House &amp; Senate to do its job.  http://t.co/LZq4bbvf",partisan,policy,national
John Boehner (Representative from Ohio),"#ObamaCare website faces security risks, watchdog finds http://t.co/wH3Ec84300 via @WSJhealth",partisan,attack,national
Ron Kind (Representative from Wisconsin),"We need campaign finance reform, and the Fair Elections Now Act is a step in the right direction. http://t.co/yfc6GbRD",partisan,policy,national
Eric Swalwell (Representative from California),"I'm no HR expert, but Texas should probably find a new recruiter if it's going to continue to try and poach CA business. @nbcbayarea",partisan,policy,national
Mark Pocan (Representative from Wisconsin),UI expiration to cost economy $3 billion in Jan and Feb. #renewUI #ActOnUI #p2 http://t.co/w03nF2Cj7q http://t.co/uBOTu7gepA,partisan,attack,national
Mark Warner (Senator from Virginia),Wishing the Virginia Muslim community a blessed and very happy Eid al-Fitr celebration!,partisan,personal,national
Jim Bridenstine (Representative from Oklahoma),"Let's defund Obamacare's state exchanges and Medicaid expansion in the continuing resolution.
http://t.co/b7Kskj3VEE
#tcot",partisan,attack,national
Scott Peters (Representative from California),"Was on @fox5sandiego this AM to talk #studentloanrates, #nsa, #immigrationreform, &amp; #bipartisanship. https://t.co/On60QUUPbH #dropthatdebt",partisan,personal,national
Sean Maloney (Representative from New York),"No Budget, No Pay is a common-sense idea: Members of Congress do not get paid until they do their job and pass a budget http://t.co/4ESemOHq",partisan,policy,national
Mark Meadows (Representative from North Carolina),It's time the Obama Admin answer to the American people on #Benghazi. Four Americans were murdered and no one has been held accountable.,partisan,attack,national
Dana Rohrabacher (Representative from California),@HowardMatis Where do you say that 97%figure comes from? If U don't know or do not know &amp; if U do its claim is obviously bogus.,partisan,attack,national
Tom Coburn (Senator from Oklahoma),Enjoy @espn's NOT TOP 10? #wastebook exposes a top ten list your favorite sports teams don't want you to see  #10... http://t.co/ws8mPAhScf,partisan,personal,national
Jack Reed (Senator from Rhode Island),Still need your help. Please let your lawmakers know you support the Reed-Heller bipartisan compromise to #RenewUI.,partisan,mobilization,national
Lois Frankel (Representative from Florida),".@francie57 @HouseDemocrats want to #endthesequester &amp; have plan to do so. It's important for economic stability, certainty &amp; jobs. #AskDems",partisan,policy,national
Peter Roskam (Representative from Illinois),TheyÛªll get only longer under #ACA ÛÏChicago-area hospitals top Crain's list of the longest ER waits.Û -@CrainsChicago http://t.co/5DiWAYkniQ,partisan,policy,constituency
Erik Paulsen (Representative from Minnesota),For 3 mos. the IRS failed to tell Congress they couldn't provide Lerner emails. My speech abt need for accountability:http://t.co/spq6b3D5nW,partisan,policy,national
Richard Blumenthal (Senator from Connecticut),Want to know which of your Senators voted to block #EqualPay? Find out here:åÊhttp://t.co/VE8QyfTEQy,partisan,information,national
Justin Amash (Representative from Michigan),Good intentions don't justify violating rights secured by the Constitution. That's WHY we have a Constitution.,partisan,policy,national
Mark Pocan (Representative from Wisconsin),#ICYMI: @HuffingtonPost on how the loss of UI benefits is devastating families across the country. #RenewUI #p2 http://t.co/NxKnixZiRP,partisan,policy,national
Mark Meadows (Representative from North Carolina),Introduced the GROWTH Act today w/ @DentPressShop to reform #unemployment insurance while bolstering job creation: http://t.co/x0Tc8sSjtj,partisan,policy,national
Candice Miller (Representative from Michigan),Find out how what happens in Washington can impact you http://t.co/xPKRywPld8 http://t.co/TuK7Mb0pVm,partisan,personal,national
Jan Schakowsky (Representative from Illinois),My statement on the Senate passing #RenewUI. I urge @SpeakerBoehner to bring this bipartisan bill to a vote this week http://t.co/FUybvhRZJ4,partisan,support,national
Benjamin Cardin (Senator from Maryland),Todays filibuster of #UI is a blow to the economy &amp; those looking to stay afloat while job hunting. Will continue efforts to #RenewUI,partisan,attack,national
Tim Scott (Senator from South Carolina),"2. The #CHOICEAct puts education back in the hands of parents, and away from DC bureaucrats. #SchoolChoice #OpportunityAgenda",partisan,policy,national
Mitch McConnell (Senator from Kentucky),"RT @StewSays: Next time POTUS claims he can't get #StudentLoans passed in the #Senate, he can blame @SenWarren (D-MASS.) who objected on DeÛ_",partisan,policy,national
Angus King (Senator from Maine),Moving to conference on the #budget is one of the best signals Congress can send to America. Watch: http://t.co/XOT3ArPT3T.  #mepolitics,partisan,support,national
Donna Edwards (Representative from Maryland),@banksisme @IrishDaveE that bill introduced by @EleanorNorton I signed on last July. I'm a big Skins fan but DS needs to rethink this.,partisan,policy,national
Rodney Davis (Representative from Illinois),"It took a nearly 13-hour filibuster, but congrats to @SenRandPaul for finally getting a response from the Administration #standwithrand",partisan,support,national
Steve Stockman (Representative from Texas),Obama late for press conference where he'll promise to fix delays?,partisan,policy,national
Kevin Brady (Representative from Texas),for the sole purpose of fatiguing them into compliance with his measures. #IndependenceDay,partisan,policy,national
Scott Rigell (Representative from Virginia),"POTUS holds end of year presser today. We'd ask: if ur concerned about jobs 4 middle class, why not open Atlantic coast 4 energy? #VAenergy",partisan,policy,national
Dave Joyce (Representative from Ohio),Have you signed up for my weekly #OH14 e-newsletter? Please click here to add yourself to my mailing list: http://t.co/f4piI0MUP7,partisan,personal,national
Amy Klobuchar (Senator from Minnesota),Senate will be done but mess inHouse:Republican hardliners block strategy to avoid shutdown  @washingtonpost http://t.co/ARxkbe8bbk,partisan,personal,national
Maxine Waters (Representative from California),It is simply outrageous that the board of AIG would even consider suing the federal government. Read my full statement: http://t.co/NaZ23skJ,partisan,constituency,constituency
Bill Huizenga (Representative from Michigan),MT @jasoninthehouse: Classic Democrats blast House plan before it is even introduced Dems arent used to reading bills http://t.co/NFQYeeb9It,partisan,attack,national
John Fleming (Representative from Louisiana),"As POTUS golfs, pushes amnesty &amp; ignores Keystone, American people are concerned about jobs, econ &amp; health care costs http://t.co/p9sPDYOAca",partisan,policy,national
Richard Blumenthal (Senator from Connecticut),Disheartened by todayÛªs McCullen ruling: a step backwards for women exercising their constitutional right to safe &amp; legal abortion. -RB,partisan,personal,national
Tom Graves (Representative from Georgia),Just voted to allow a lawsuit against President Obama. Congress must act to defend the #Constitution. #liberty #PJNET http://t.co/cvYtvQaKDf,partisan,policy,national
Michael Fitzpatrick (Representative from Pennsylvania),"Thx Steven MT @bucksright Credit where it's due: Thanks, @RepFitzpatrick for voting to stop NSA spying on people who aren't doing wrong.",partisan,policy,national
Kevin Brady (Representative from Texas),Why canÛªt the White House simply follow the law? http://t.co/9GomQaCTm5,partisan,policy,national
Jeff Merkley (Senator from Oregon),@CFPB study confirms need to prevent medical debt unfairly harming consumersÛª credit scores: http://t.co/VoTYLe1Qmr,partisan,support,national
Steny Hoyer (Representative from Maryland),Wishing a very happy birthday to @repvisclosky.,partisan,policy,national
Tim Huelskamp (Representative from Kansas),Kudos to Mark Levin for admonishing Bill O'Reilly http://t.co/byAUsrKVem @marklevinshow @oreillyfactor #tcot,partisan,personal,national
Martha Roby (Representative from Alabama),Americans must be able to voice their political and religious views without fear of reprisal from the government. http://t.co/chknj5Q6zW,partisan,policy,national
Pete Sessions (Representative from Texas),"As I review the details of todayÛªs jobs report, I'm deeply concerned about the impact of ObamaCare on full-time jobs: http://t.co/iy4e3YYkkK",partisan,policy,national
Patty Murray (Senator from Washington),#Obamacare is law of the land &amp; millions of women are already benefiting. These political games could hurt them the most. #standwithwomen,partisan,support,national
Richard Durbin (Senator from Illinois),"After my #StateOfCivilRights hearing urged support for The Death in Custody Reporting Act, IÛªm pleased the Senate passed this important bill",partisan,policy,national
Frank Pallone (Representative from New Jersey),Be sure to tune in to @allinwithchris on @MSNBC at 8pm tonight. I'll be on to talk about the latest #NJ news,partisan,support,national
Keith Rothfus (Representative from Pennsylvania),Thanks Foreign Affairs Cmte chair @RepEdRoyce for cosponsoring HR 2453 to protect choice for seniors using #MedicareAdvantage.,partisan,support,national
Rosa DeLauro (Representative from Connecticut),Workers have used FMLA leave over 100 million times #WhatMothersNeed is #PaidFamilyLeave so more can use it to care for family,partisan,support,national
Anna Eshoo (Representative from California),President ObamaÛªs #ConnectED Initiative gets important boost with support from @Adobe: http://t.co/pR9XmEdrM0.,partisan,information,national
Dina Titus (Representative from Nevada),"@GhostreconLee - I'm a proud cosponsor of HR 3546, which would extend this critical lifeline for one year. #RenewUI http://t.co/8Uey04mOEi",partisan,policy,national
Matt Cartwright (Representative from Pennsylvania),"@BarackObama ""These cuts are not smart, they are not fair ...people will lose their jobs."" #StopTheSequester",partisan,policy,national
Jackie Speier (Representative from California),1 vet lost in #VA is too many but to have 1.700 ignored is a violation of every principle we promote 2 protect them http://t.co/GihNxltn8z,partisan,attack,national
Bill Shuster (Representative from Pennsylvania),We have to draw a hard line and put an end to this kind of reckless government overreach. It's the same reason I introduced my NO IRS bill.,partisan,policy,national
Mitch McConnell (Senator from Kentucky),It defunds #Obamacare RT @whasnews: Sen. McConnell Urges Passage of House Continuing Resolution http://t.co/yLUCNqnZKe via @whasnews,partisan,policy,national
Yvette Clarke (Representative from New York),But I remain concerned about the denial and insensitivity expressed in his initial response.,partisan,personal,national
Ron Barber (Representative from Arizona),"RT @HRC: Great news! AZ @GovBrewer Vetoes Horrendous ""License to Discriminate"" Bill #SB1062 http://t.co/L8AVuvSNyxÛ_ via @HRC",partisan,policy,constituency
Matt Cartwright (Representative from Pennsylvania),@wirenut1990 @SpeakerBoehner @RepAndyHarrisMD The 37th time isn't the charm. #ACARepeal is DOA in the Senate. Now let's get to work.,partisan,policy,national
Mark Kirk (Senator from Illinois),Met w/ #Illinois community banks to discuss reg relief so local banks can keep lending to families &amp; small businesses http://t.co/Rp6Pfk37hU,partisan,policy,constituency
Sheila Jackson-Lee (Representative from Texas),FACT: States that raised the minimum wage saw higher job growth than states that did not. http://t.co/gZxkJwR7Qq #RaiseTheWage,partisan,policy,national
Ken Calvert (Representative from California),"EPA Defies Supreme Court, Proposes Unprecedented Water Regulations http://t.co/88sKdtqlwV",partisan,information,national
Mark Meadows (Representative from North Carolina),Great op-ed: Preserve the Beer/Farm Partnership http://t.co/oWnjZ3j1qF via @BlueRidgeNow,partisan,policy,national
Tim Griffin (Representative from Arkansas),"RT @WaysandMeansGOP: Under Obama, middle class incomes have fallen more than 5%, it's time to focus on #taxreform to fix the economy
http:/Û_",partisan,policy,national
Dana Rohrabacher (Representative from California),@mustikhan if Kashmiri independence movement dominated by Islam radicals rather than freedom&amp; democracy advocates they still deserve a vote,partisan,policy,national
Dana Rohrabacher (Representative from California),"@CerebralGuild drug testing can prevent truck drivers &amp; doctors endangering others, deter teens&amp; prevent welfare being used 4 drugs,",partisan,attack,national
Blake Farenthold (Representative from Texas),Just went on @msnbc Politics Nation with @thereval to discuss the current budget battle in DC. LookÛ_ http://t.co/4Y1K16QBjN,partisan,policy,national
Jason Chaffetz (Representative from Utah),This is the attitude rather than working with us http://t.co/4IJ4O8WoT2,partisan,attack,national
Rick Larsen (Representative from Washington),"Met w/@usgao re: #Arctic policy. US has enviro, economic &amp; natl sec interests in region &amp; must prioritize them better http://t.co/JZNt4kXike",partisan,policy,national
Mark Begich (Senator from Alaska),"Glad DEC addressing particulate matter for Interior air quality.Open Houses set for Fbx, N. Pole in Oct &amp; Nov. Go to http://t.co/PqwZoSTkBh",partisan,policy,national
John Culberson (Representative from Texas),"It's simple: the legislative branch legislates, and the executive branch executes those laws. Obama's action ignores the Constitution.",partisan,policy,national
Kirsten Gillibrand (Senator from New York),"My #OpportunityPlan
1. Equal Pay
2. Paid Family Leave
3. Raise Minimum Wage
4. Affordable Child Care
5. Pre-K For All
http://t.co/28IrbmieJ3",partisan,policy,national
Ted Poe (Representative from Texas),"Why is #POTUS so eager to negotiate with Putin about Syrian issues, but refuses to negotiate with Congress over American issues?",partisan,policy,national
Todd Rokita (Representative from Indiana),Proud cosponsor of the #EmailPrivacyAct. Learn more about this bill to strengthen the 4th Amdt. http://t.co/g3L2lapiUd,partisan,support,national
Cory Booker (Senator from New Jersey),RT @jimwallis: Important piece on #massincarceration &amp; #REDEEM by my colleague @LisaSHarper for @Sojourners http://t.co/6Bt1CoppNp @CoryBooÛ_,partisan,support,national
Grace Napolitano (Representative from California),Honored to receive World Boxing Council green belt &amp; join these mental health champions in the fight against stigma! http://t.co/YCimbHA0xC,partisan,attack,national
Gerald Connolly (Representative from Virginia),SCOTUS gets it right and allows pro-marriage equality rulings to stand! Great day for justice for families in Virginia and 10 other states.,partisan,policy,constituency
Richard Neal (Representative from Massachusetts),@EPA grants making rehabbing and revitalizing mills a reality in #Ludlow and #Lee. http://t.co/7hFiPXwsQF,partisan,constituency,constituency
Mike Pompeo (Representative from Kansas),"Shutting down power plants and giving an advantage to politically connected Û÷green energyÛª companies isn't a ""fair"" plan.",partisan,policy,national
Todd Young (Representative from Indiana),"For those affected by last year's tornado disaster, June 1 is the last day to apply for aid through March2Recovery. http://t.co/GS8IPu6zBE",partisan,information,national
Tim Scott (Senator from South Carolina),Had the opportunity to talk education with some impressive Clemson student government members and faculty http://t.co/K0I8dwcm4z,partisan,policy,constituency
Tim Scott (Senator from South Carolina),"ICYMI: I spoke on the Senate floor today on our need for energy independence and the Keystone Pipeline. 
Watch: http://t.co/LdWoY3rGSf",partisan,support,national
Kelly Ayotte (Senator from New Hampshire),Great to be at @nnedv breakfast to support efforts to end domestic violence http://t.co/cPdvu76fY6,partisan,personal,national
Dana Rohrabacher (Representative from California),@NOWARFORISRAEL U can try to attack motives but I certainly take the policy points U make less seriously.,partisan,policy,national
Amy Klobuchar (Senator from Minnesota),@chuckgrassley &amp; I introed bill 2 stop pay-for-delay deals betwn drug companies. It will get life-saving drugs to people quicker and save $.,partisan,policy,national
Todd Rokita (Representative from Indiana),"RT @irtl: .@ToddRokita: Life is precious. Therefore, every abortion is a tragedy. #gosnell",partisan,policy,national
Jim Bridenstine (Representative from Oklahoma),The solution to #IRS targeting conservatives is eliminating the IRS. #Repeal16 http://t.co/Dau5myEJOo,partisan,policy,national
Jason Smith (Representative from Missouri),Spent much of the morning talking to radio across #MO8 about the new meetings dates for the ONSR Gen Management Plan. http://t.co/eB3RcnUZh1,partisan,media,national
Niki Tsongas (Representative from Massachusetts),.@MassGovernorÛªs 3.27mil investment in life sciences training equipment for MA schools will grow opportunities for STEM education.,partisan,policy,national
Morgan Griffith (Representative from Virginia),"Rep. GriffithÛªs #VA09 STAFF will be holding office hours tomorrow, 6/4, in Marion, Covington, New Castle, &amp; Bristol: http://t.co/jF8ddfxEhO",partisan,personal,national
Ted Cruz (Senator from Texas),The ultimate solution is we must repeal every word of Obamacare #CallwithCruz,partisan,policy,national
Jack Kingston (Representative from Georgia),"DoD Secy Chuck Hagel, reportedly in charge of #Bergdahl exchange, claimed he ""doesn't know..."" today via @FreeBeacon https://t.co/tLImg8ASlt",partisan,attack,national
Chris Van Hollen (Representative from Maryland),Almost one year since the Senate passed comprehensive immigration reform. The #TimeIsNow for the House to act! http://t.co/seSuk4jjwG,partisan,policy,national
David McKinley (Representative from West Virginia),The #Obamacare effect is widening the income gap http://t.co/Il7mK3iLep,partisan,policy,national
Bill Cassidy (Representative from Louisiana),"Ocare's Medical Device Tax will cost our nation 33,000 jobs - unacceptable: http://t.co/HIBQcgZM0d #LASEN",partisan,policy,national
Jeffrey Duncan (Representative from South Carolina),Pres Obama just announced he's cancelling his trip to Asia so he can continue lecturing Republicans and refusing to negotiate. #notleading,partisan,attack,national
Jan Schakowsky (Representative from Illinois),.@easynan2 its interesting how we will spend $ but GOP won't bring a jobs bill to a floor or spend $ to create jobs #askdems,partisan,attack,national
Michael Crapo (Senator from Idaho),"The #FarmBill includes language, I authored that states the #CWA was never intended to regulate water runoff on logging roads. #idpol",partisan,policy,national
Ted Cruz (Senator from Texas),"April '13: 165,000 new jobs under Obama (http://t.co/7z1gfe70GG) Sept. '83: Over 1 million new jobs under Reagan (http://t.co/hnU3mDd7BL)",partisan,policy,national
Mike Quigley (Representative from Illinois),@KatG4 understand concerns. Important to note: bill still changing via amendments etc. so nothing final which is why we're following closely,partisan,policy,constituency
Tim Huelskamp (Representative from Kansas),"#Obama #DoubleSpeak at its best: Said #Bush43 went around Congress with Executive orders, denies doing the same. http://t.co/99Xoyf3epJ",partisan,policy,national
Ken Calvert (Representative from California),RT @SpeakerBoehner: Delivering a speech today @AEI based on ideas that didn't come from Washington: http://t.co/qZcTBs9VuI  #5pts4jobs,partisan,policy,national
Steve Israel (Representative from New York),Proud to fight against hatred MT @ajcgov Thank you @RepSteveIsrael for opposing #ASA decision to boycott Israeli academic institutions!,partisan,personal,national
Robert Scott (Representative from Virginia),"If you're a single parent w/ 2 kids, making min wage &amp; working full time your family lives in poverty. #RaisetheWage http://t.co/gCVSFQhVCo",partisan,policy,national
Jerrold Nadler (Representative from New York),Indeed. MT @RepMaloney: New 9/11 study: 15% higher cancer rate for 1st responders -- why #Zadroga Act is necessary. http://t.co/1mM8dHu7SN,partisan,policy,constituency
Michael Fitzpatrick (Representative from Pennsylvania),@chrisbob Performs financial assmt of borrowers for loan approval and suitability to protect seniors from loans not fit for them (1/4),partisan,attack,national
Kirsten Gillibrand (Senator from New York),".@SIAdvance: Putting sexual assault cases in hands of unbiased mil prosecutors would ""instill new confidence in military justice."" #passMJIA",partisan,policy,national
Kirsten Gillibrand (Senator from New York),Sen. @MaryLandrieu fights every day for Louisiana &amp; I need her fighting by my side in the U.S. Senate. #ImWithMary http://t.co/zIoB7O6Fbz,partisan,support,constituency
Cory Booker (Senator from New Jersey),Yesterday I asked New Jerseyans to tell me their stories about the urgent need to restore unemployment insurance benefits #RenewUI,partisan,policy,constituency
Joe Manchin III (Senator from West Virginia),@RunThisTownJB ...that lowers rates for all students. http://t.co/tt53cTQawj,partisan,policy,national
Bernard Sanders (Senator from Vermont),The US has tripled its defense spending since 1997 and spends more on defense than the rest of the world combined. #budget,partisan,policy,national
Frank Wolf (Representative from Virginia),"Submit your questions for Rep. Wolf using the hashtag #cspanwj or @cspanwj, or call in: 202-585-3881 (Republicans), 202-585-3880 (Democrats)",partisan,policy,national
Jason Smith (Representative from Missouri),#ObamaCare: Working the way it's supposed to? http://t.co/x0uq3oV4Lb #TrainWreck,partisan,policy,national
Rosa DeLauro (Representative from Connecticut),Here we go again. Transportation/housing bill is just the latest that grossly underfunds America's needs. cc: @AppropsDems,partisan,information,national
Jim Renacci (Representative from Ohio),Why I voted against a bill that would raise the debt ceiling with no comprehensive spending reforms: http://t.co/JFxg3m5TcD,partisan,policy,national
Kevin Brady (Representative from Texas),"The unfunded liability in Medicare, the trustees tell us, is $34 trillion over the next 75 years. http://t.co/wFGnuOpBhO",partisan,policy,national
Mitch McConnell (Senator from Kentucky),Sens. McConnell &amp; Paul engaging in a colloquy on Senate floor now on Obamacare's impact on Kentucky. Watch HERE.http://t.co/eCkqyGRE1C,partisan,attack,constituency
Lindsey Graham (Senator from South Carolina),Job well done by the members of the SC House of Representatives who voted down Medicaid expansion yesterday.  #scnews,partisan,policy,constituency
Richard Hudson (Representative from North Carolina),"Today the House votes on HR 5462, a bipartisan bill I introduced to limit the fees charged to air travelers &amp; clarify Congressional intent.",partisan,policy,national
Dianne Feinstein (Senator from California),Burden of student loan debt affects a borrowerÛªs ability to buy a home or plan for retirement. We need to do something about it. #FairShot,partisan,attack,national
Patrick Murphy (Representative from Florida),@HouseNewDems are fighting to spur economic growth. I'm proud to be a member. RT if you stand with us.,partisan,mobilization,national
Tim Johnson (Senator from South Dakota),Chaired @SenateBanking hearing 2day on impact default would have on financial stability &amp; economic growth. Watch here:http://t.co/Ggh7wfS14k,partisan,policy,national
John Cornyn (Senator from Texas),VA chief Shinseki has a lot to explain: Our view http://t.co/uZ6dxYus2i via @usatoday,partisan,policy,national
Ron Barber (Representative from Arizona),#Medicare matters because it keeps Southern Arizona seniors healthy.,partisan,policy,constituency
Thomas Carper (Senator from Delaware),GOP blocking budget conference boggles my mind. MT @SenateDems: Republicans wanted to pass budget thru regular order. http://t.co/9rJAEnK8bC,partisan,attack,national
Rob Portman (Senator from Ohio),Cosponsored the US-Israel Strategic Partnership Act. Critical the U.S. stands up for IsraelÛªs right to defend itself against terrorism.,partisan,policy,national
Michael Crapo (Senator from Idaho),New Forest Service report further reinforces that the current way the government budgets for wildfire suppression is unsustainable. #idpol,partisan,policy,national
Christopher Murphy (Senator from Connecticut),72% of Americans don't want to shut down the government over repeal of health care law. http://t.co/rHWROWxiA5,partisan,policy,national
Virginia Foxx (Representative from North Carolina),"2012 #SOTU: ÛÏI want to cut through the maze of confusing training programs,Û @HouseGOP passed #SKILLSAct does that, tell Senate to pass it!",partisan,policy,national
Ken Calvert (Representative from California),The House GOP has introduced a bill to avoid a gov't shutdown on March 27th + prioritize DoD and Veterans programs http://t.co/h0cPcC0gc5,partisan,mobilization,national
Steve Southerland (Representative from Florida),BREAKING: Non-partisan CBO reports #Obamacare will cost the nation 2.3 million jobs &amp; $1 trillion in new debt. http://t.co/SNrYBHFYcL,partisan,attack,national
Charles Grassley (Senator from Iowa),"Hancock Co.mtg - 82ppl in Garner. Qs abt SSNotch, Debt, Guns, homeland Security,PTSD, WHTours, GayMarriage, TermLimits, CropInsur, Farm Bill",partisan,policy,national
John Conyers Jr. (Representative from Michigan),RT @HouseJudDems: &gt; @RollingStone New Coalition Emerges Against #NSA Surveillance @RepJustinAmash @RepJohnConyers bring together Ds &amp;Rs httÛ_,partisan,policy,national
Jim Renacci (Representative from Ohio),"Great... MT @djheakin: President's budget says reforms to Medicare will extend solvency for 4 yrs. Assuming that's true, insolvency = 2028.",partisan,policy,national
Michelle Lujan Grisham (Representative from New Mexico),Proud of the #SouthValley and #ValleDeOro Thanks to @SecretaryJewell @MartinHeinrich @SenatorTomUdall http://t.co/LBi3aqKmGE,partisan,personal,constituency
Michael Crapo (Senator from Idaho),The U.S. is on an unsustainable fiscal path. Listening to a report from CBO at the first @SenateBudget Committee meeting of this Congress.,partisan,policy,national
